date,Line1,Line2,Line4,Line5,Line6,Line7,Line8,Line9,Line10,Line11,Line13,Line14,Line15,Line16,Line17,Line19,LineFS,LineCP,LineYZ,LineYF,LineS1,LineT1,LineXJ,LineSD,LineDX
2023/2/4,57.86,37.99,61.33,43.91,49.01,32.62,46.82,20.68,75.21,0.11,23.04,40.75,17.74,11.25,3.36,6.77,11.93,15.65,10.84,1.53,2.43,0.13,1.59,1.03,2.81
2023/2/5,55.74,38.51,58.07,43.54,45.35,33.91,44.99,20.15,68.84,0.1,21.47,39.82,16.48,11.06,3.17,6.26,11.29,14.46,10.51,1.49,2.35,0.13,1.33,1.12,2.95
2023/2/6,87.71,65.59,89.75,75.1,85.71,49.15,52.07,40.69,142.91,0.1,50.81,72.24,35.67,20.36,5.19,12.81,22.99,30.54,19.19,2.45,4.58,0.21,1.13,1.34,3.53
2023/2/7,94.81,67.55,90.27,77.88,88.45,50.02,56.74,40.91,146.01,0.1,50.59,73.11,36.51,20.63,5.3,13.08,23.2,31.22,19.36,2.4,4.62,0.2,1.17,1.24,3.2
2023/2/8,96.53,68.58,92.16,79.43,89.99,51.16,58.29,41.24,147.84,0.1,51.06,74.48,37.05,20.85,5.46,13.22,23.44,31.56,19.84,2.47,4.67,0.21,1.22,1.28,3.14
2023/2/9,95.7,68.96,90.96,79.48,89.42,50.49,57.17,40.59,147.64,0.09,50.3,74.74,37.25,20.78,5.43,13.15,23.31,31.46,19.74,2.41,4.64,0.21,1.12,1.41,3.03
2023/2/10,102.35,73.94,101.16,84.25,95.19,54.91,63.11,44.41,157.96,0.1,54.88,80.07,39.91,22.42,5.88,14.21,24.23,33.58,21.22,2.65,4.74,0.24,1.22,1.6,3.51
2023/2/11,66.08,44.07,73.05,53.02,57.24,39.37,51.8,24.54,90.89,0.11,28.43,50.5,23.48,13.41,4.11,8.2,13.92,19.37,12.74,1.71,2.75,0.15,1.41,1.16,2.77
2023/2/12,51.05,35.24,59.63,41.45,44.76,32.07,36.49,21.59,72.42,0.08,22.84,42.12,18.77,10.48,3.35,6.75,11.02,15.1,10.04,1.47,2.22,0.12,0.81,1.24,3.09
2023/2/13,99.01,73.25,98.95,84.7,95.98,55.11,58.46,44.1,158.9,0.11,54.34,79.98,40.29,23.11,6.07,14.48,25.25,33.82,21.6,2.63,4.88,0.24,1.3,1.26,2.85
2023/2/14,106.97,75.48,102.26,88,100.61,56.06,63.69,44.64,164.35,0.11,55.7,83.17,40.93,23.39,6.11,14.75,25.6,35.24,22.11,2.61,4.96,0.23,1.32,1.27,2.6
2023/2/15,102.04,73.69,98.74,85.82,96.84,54.39,60.66,43.6,159.15,0.11,54.37,79.86,39.27,22.91,6,14.69,25.03,34.33,21.43,2.53,4.86,0.23,1.27,1.34,3.09
2023/2/16,102.24,72.98,99.11,85.6,96.43,54.55,60.88,43.67,158.53,0.16,53.73,79.47,39.31,22.51,5.96,14.56,25.11,34.43,21.28,2.54,4.85,0.23,1.32,1.39,2.85
2023/2/17,105.27,77.39,107.8,88.36,99.92,57.62,64.4,47.26,167.03,0.13,57.19,84.71,41.23,24.05,6.13,15.48,26.15,36.71,22.28,2.9,4.94,0.24,1.29,1.76,3.43
2023/2/18,62.97,41.94,73.49,50.59,55.68,37.53,48.65,24.94,90.67,0.09,28.14,49.1,21.63,12.78,4.07,8.07,14.33,20.83,12.59,1.7,2.69,0.16,1.17,1.26,2.68
2023/2/19,63.44,42.7,77.64,50.82,57.43,38.18,51.38,25.98,90.76,0.14,28.3,50.36,21.95,13.66,4.13,8.32,15.04,21.34,12.95,1.96,2.73,0.18,2.21,1.35,2.96
2023/2/20,98,72.68,99.03,85.36,96.88,54.02,57.43,43.99,159.68,0.1,54.26,79.96,39.6,23.01,6.13,14.57,25.5,34.61,21.81,2.67,4.94,0.24,1.34,1.27,2.6
2023/2/21,100.59,71.87,97.72,85.61,97.48,53.49,58.88,43.1,158.95,0.1,53.75,79.63,39.76,22.72,6.03,14.49,25.17,34.48,21.49,2.55,4.9,0.25,1.35,1.23,2.39
2023/2/22,100.53,72.36,98.74,85.85,97.66,53.85,60.36,43.08,159.66,0.1,53.29,80.54,40.25,22.68,6.06,14.53,25.15,34.73,21.52,2.56,4.87,0.23,1.38,1.35,2.69
2023/2/23,101.13,73.09,99.27,85.54,97.4,54.07,60.47,43.21,159.38,0.11,53.74,80.59,41.14,22.73,6.08,14.55,25.18,34.75,21.37,2.56,4.84,0.23,1.39,1.39,2.67
2023/2/24,107.51,79.82,112,90.63,103.63,59.29,64.94,48.06,173.49,0.1,59.98,87.98,43.4,24.66,6.32,15.63,26.69,37.94,22.73,3.02,4.97,0.25,1.46,1.86,3.43
2023/2/25,72.31,49.02,85.78,58.76,66.17,42.51,56.44,27.43,105.75,0.14,33.51,58.02,27.78,15.12,4.6,9.11,16.81,24.79,14.32,2.06,3,0.19,2.66,1.28,2.46
2023/2/26,62.42,43.09,77.1,50.98,57.38,37.33,46.62,25.69,91.52,0.13,29.13,50.81,23.36,13.62,4.05,8.18,15.31,21.3,12.88,2.08,2.67,0.18,2.15,1.39,2.8
2023/2/27,95.28,70.97,97.13,83.54,95.49,52.74,55.28,43.53,157.15,0.1,53.79,79.08,39.22,22.85,6.03,14.44,25.41,34.53,21.47,2.71,4.82,0.24,1.29,1.26,2.55
2023/2/28,97.84,68.97,96.37,84.25,96.27,52.79,55.92,42.85,157.46,0.11,53.3,79.08,39.49,22.63,5.97,14.26,25.12,34.7,21.31,2.58,4.79,0.24,1.35,1.25,2.37
2023/3/1,96.78,69.8,96.14,83.81,96.16,52.14,56.78,42.8,157.29,0.1,53.52,78.68,39.31,22.64,5.99,14.26,25.12,35.15,21.19,2.56,4.82,0.24,1.41,1.3,2.45
2023/3/2,95.28,68.63,95.33,82.55,94.77,51.41,56.31,42.16,155.73,0.11,52.83,77.64,38.96,22.41,5.98,14.12,24.99,34.61,20.98,2.57,4.8,0.22,1.41,1.23,2.29
2023/3/3,101.01,73.92,106.26,84.65,100.09,55.51,59.79,46.89,166.9,0.12,57.24,84.13,41.24,24.13,6.23,15,26.58,37.43,22.16,3.1,4.91,0.25,1.54,1.57,2.91
2023/3/4,65.33,42.91,78.83,54.31,61.58,38.28,54.55,25.04,97.47,0.16,30.28,51.55,24.91,14.48,4.31,8.48,15.87,23.2,13.37,1.89,2.92,0.17,2.91,1.02,1.92
2023/3/5,55.28,37.53,70.63,46.98,52.89,34.5,43.4,23.9,84.53,0.12,26.88,46.87,21.59,12.83,3.83,7.7,14.68,20.14,12,2.06,2.57,0.16,2.09,1.15,2.33
2023/3/6,91.91,68.5,94.55,81.28,93.75,51.02,53.43,42.6,153.62,0.11,52.79,77.31,38.42,22.45,6.02,14.15,25.05,34.11,21.12,2.61,4.82,0.24,1.37,1.17,2.27
2023/3/7,95.21,67.63,93.3,81.76,94.14,50.57,54.85,41.76,153.43,0.11,51.87,76.54,38.5,22.13,5.93,14.02,24.77,34.06,20.73,2.48,4.78,0.23,1.41,1.09,2.05
2023/3/8,98.72,69.34,99.61,83.96,98.04,52.43,58.99,42.24,158.3,0.12,53.39,80.32,39.9,23.07,6.01,14.21,25.56,35.41,21.37,2.56,4.86,0.24,1.7,1.22,2.21
2023/3/9,92.72,66.44,92.47,79.78,92.89,49.54,54.14,40.88,151.51,0.1,51.26,75.6,38.04,21.87,5.83,13.78,24.55,33.92,20.51,2.49,4.77,0.23,1.43,1.19,2.2
2023/3/10,98.2,72.37,103.74,84.26,97.79,53.97,57.42,45.31,161.11,0.1,55.9,82.1,40.49,23.66,6.04,14.73,25.91,36.82,21.64,3.02,4.88,0.24,1.56,1.47,2.81
