seed,data,model,pred_len,train_time,mse,mae,mape,total inference time,avg inference time,avg_sample_time
3047,electricity,TimeXer,6,117.4211,0.1002,0.2246,1.2822,0.4477,0.0027,0.0001
3047,electricity,TimeXer,24,109.3366,0.1623,0.2932,1.5002,0.4767,0.0029,0.0001
3047,electricity,TimeXer,48,111.3175,0.2091,0.33,1.6352,0.5175,0.0032,0.0001
3047,electricity,TimeXer,96,107.0957,0.2541,0.3588,1.6887,0.4828,0.003,0.0001
3047,electricity,TimeMixer,6,103.2655,0.1984,0.3284,1.8604,0.5917,0.0036,0.0001
3047,electricity,TimeMixer,24,100.8695,0.2504,0.3723,1.8606,0.6065,0.0037,0.0001
3047,electricity,TimeMixer,48,104.0462,0.2922,0.4007,2.1271,0.601,0.0037,0.0001
3047,electricity,TimeMixer,96,110.297,0.3092,0.4086,1.9857,0.6335,0.0039,0.0001
3047,electricity,SCINet,6,917.9116,0.1046,0.2229,1.1162,5.2621,0.0319,0.001
3047,electricity,SCINet,24,917.9045,0.1692,0.2889,1.4216,5.2417,0.032,0.001
3047,electricity,SCINet,48,916.5715,0.2043,0.3187,1.5094,4.9867,0.0306,0.001
3047,electricity,SCINet,96,919.8573,0.2418,0.3443,1.6665,4.964,0.0306,0.001
3047,electricity,SegRNN,6,80.2131,0.1039,0.2268,1.2024,0.2552,0.0015,0
3047,electricity,SegRNN,24,78.137,0.1804,0.3078,1.6867,0.2732,0.0017,0.0001
3047,electricity,SegRNN,48,83.9954,1.4736,0.9388,5.3618,0.3142,0.0019,0.0001
3047,electricity,SegRNN,96,94.9975,1.6317,0.995,5.4544,0.4009,0.0025,0.0001
1234,electricity,TimeXer,6,121.5751,0.1016,0.2268,1.2618,0.4744,0.0029,0.0001
1234,electricity,TimeXer,24,111.2307,0.1689,0.2985,1.5321,0.4776,0.0029,0.0001
1234,electricity,TimeXer,48,112.0577,0.2031,0.3264,1.6513,0.4562,0.0028,0.0001
1234,electricity,TimeXer,96,106.7506,0.2582,0.3641,1.7192,0.448,0.0028,0.0001
1234,electricity,XGBoost,6,4.221516371,0.006943094,0.073385792,7.827976678,,,
1234,electricity,XGBoost,24,4.342078209,0.190994793844934,0.434982191,53.85603437,,,
1234,electricity,XGBoost,48,4.526661873,0.242075406,0.410027805,82.70769463,,,
1234,electricity,XGBoost,96,9.402781725,0.270739754936713,0.45508821,134.8277206,,,
3047,electricity,XGBoost,6,4.494816303,0.005317488,0.053248049,5.718390837,,,
3047,electricity,XGBoost,24,2.845169067,0.153011481754079,0.416172232,55.96038275,,,
3047,electricity,XGBoost,48,4.501340866,0.203842481,0.366525531,64.65154994,,,
3047,electricity,XGBoost,96,9.133405924,0.224185168288872,0.454957626,136.922948,,,
3456,electricity,XGBoost,6,4.124900103,0.005725772,0.058883237,6.152175699,,,
3456,electricity,XGBoost,24,4.131548405,0.172470241434819,0.434158968,59.65632201,,,
3456,electricity,XGBoost,48,4.276141644,0.208456800953733,0.401025075,69.30361481,,,
3456,electricity,XGBoost,96,8.958198786,0.217912025276212,0.457105486,138.3268474,,,
5678,electricity,XGBoost,6,4.09784174,0.006617777,0.062247937,6.63111945,,,
5678,electricity,XGBoost,24,4.385516405,0.169170070112926,0.418662539,58.37949695,,,
5678,electricity,XGBoost,48,4.412396669,0.224781266,0.387971308,68.12738314,,,
5678,electricity,XGBoost,96,8.876492023,0.24555912503606,0.450723166,138.551556,,,
9012,electricity,XGBoost,6,6.898438215,0.007158268,0.057554003,5.901248366,,,
9012,electricity,XGBoost,24,8.848192453,0.136882065,0.429220217,59.09863486,,,
9012,electricity,XGBoost,48,8.508205652,0.190254783,0.420022536,68.04960448,,,
9012,electricity,XGBoost,96,17.99430752,0.205529637,0.464840247,140.8985766,,,
1234,electricity,SARIMAX,6,1851.43245,0.0539,0.20313,,,,
1234,electricity,SARIMAX,24,1849.63906,0.03783,0.16202,,,,
1234,electricity,SARIMAX,48,1840.48261,0.03645,0.16063,,,,
1234,electricity,SARIMAX,96,1830.67086,0.0848,0.2226,,,,
1234,electricity,TimeMixer,6,104.5968,0.2073,0.3391,1.8528,0.5769,0.0035,0.0001
1234,electricity,TimeMixer,24,100.8054,0.2374,0.3632,1.7951,0.557,0.0034,0.0001
1234,electricity,TimeMixer,48,104.6543,0.2945,0.405,1.9855,0.5903,0.0036,0.0001
